Crystal_ID,Name,Color,Chakra_Association,Healing_Properties,Zodiac_Association,Element,Hardness_Mohs,Cleansing_Methods,Usage_Tips,Affirmation,Helps_With
CRY001,Amethyst,Purple,Third Eye|Crown,calming|spiritual awareness|stress relief,Pisces|Virgo,Air,7,Water|Moonlight|Smudging,Meditate with it on forehead to enhance intuition,"I am calm, peaceful, and relaxed.","anxiety, emotional imbalance, inner peace, meditation, nervousness, overwhelm, spiritual growth, stress"
CRY002,Rose Quartz,Pink,Heart,love|compassion|emotional healing,Taurus|Libra,Water,7,Water|Smudging,Place under pillow for emotional comfort,I am worthy of love and compassion.,"emotional healing, emotional wounds, empathy, forgiveness, grief, heartbreak, kindness, relationships, self-love"
CRY003,Citrine,Yellow,Solar Plexus,abundance|confidence|joy,Gemini|Leo,Fire,7,Sunlight|Smudging,Carry in wallet to attract wealth,I attract prosperity with ease.,"assertiveness, courage, emotional uplift, financial success, good luck, happiness, motivation, prosperity, self-esteem"
CRY004,Black Tourmaline,Black,Root,protection|grounding|energy cleansing,Capricorn,Earth,7.5,Smudging|Salt,Keep near doors to protect home,I am protected and grounded.,"aura cleansing, disconnected, emotional safety, feeling scattered, negative energy, psychic attack, removing negativity, unbalanced"
CRY005,Lapis Lazuli,Deep Blue,Throat|Third Eye,truth|communication|intuition,Sagittarius,Water,5.5,Moonlight|Smudging,Wear as pendant to boost confidence and truth,I speak my truth with clarity.,"authenticity, clarity, expression, gut feeling, honesty, inner guidance, psychic development, relationships, speaking"
CRY006,Clear Quartz,Transparent,All,amplification|clarity|energy boost,All,Spirit,7,Water|Sunlight|Moonlight,Use with other crystals to amplify energy,"I am clear, focused, and energized.","decision-making, focus, mental fog"
CRY007,Smoky Quartz,Brown,Root,grounding|detoxification|protection,Scorpio|Capricorn,Earth,7,Smudging|Earth Burying,Hold during meditation for grounding,I release all that no longer serves me.,"disconnected, emotional safety, feeling scattered, negative energy, psychic attack, unbalanced"
CRY008,Aventurine,Green,Heart,prosperity|luck|healing,Aries,Earth,6.5,Water|Smudging,Keep in pocket for opportunity and healing,I welcome abundance and good fortune.,"inner peace, physical wellness, recovery"
CRY009,Carnelian,Orange,Sacral|Root,creativity|courage|vitality,Leo|Virgo,Fire,7,Sunlight|Smudging,Wear during physical activities or creative work,"I am bold, passionate, and full of energy.","anxiety, artistic inspiration, difficult transitions, fear, flow, motivation"
CRY010,Sodalite,Blue,Throat|Third Eye,logic|truth|emotional balance,Sagittarius|Virgo,Water,6,Water|Moonlight,Place on throat for clear communication,I express myself with confidence and clarity.,"authenticity, clarity, honesty"
CRY011,Fluorite,Purple|Green,Third Eye|Heart,focus|cleansing|decision making,Capricorn|Pisces,Air,4,Smudging|Water,Use during study or mental work,My mind is clear and my heart is centered.,"attention, mental clarity, study"
